percentage,educational_resources,parents_education,personality,passion,ott_time,sm_time,travel_time,eduvids_time,game_time,extra_time,ai_usage
95,good,undergraduate,extroverted,yes,3.5,0.5,0.2,2,0.2,4,regular
79,satisfactory,PhD,introverted,yes,2.2,1.2,0.9,2.8,1.2,1.5,regular
74,poor,graduate,extroverted,no,1.2,1.3,1,3,1.5,0.5,occasional
89,good,undergraduate,ambiverted,yes,2.8,0.8,0.4,2.5,0.3,2,occasional
82,satisfactory,12,extroverted,no,2.3,0.1,1.5,2.5,0.1,0.5,regular
61,poor,below10,introverted,yes,0.5,2.2,1.2,2.5,0.4,0.6,never
77,good,10,extroverted,no,2.1,1.3,0.7,2,1.5,1,occasional
82,good,graduate,introverted,no,1.8,1.2,0.8,2.3,1,1,occasional
75,poor,undergraduate,ambiverted,yes,2.8,0.5,0.3,2,0.5,2,regular
88,satisfactory,PhD,extroverted,no,1.6,1,0.8,2.5,1.5,1,occasional
80,satisfactory,graduate,ambiverted,yes,2.5,1,0.5,2,1,1,regular
89,good,PhD,introverted,yes,2.9,0.7,0.6,2.5,0.8,2,occasional
92,satisfactory,graduate,extroverted,no,2.3,0.5,0.2,2.2,0.5,2.5,never
79,good,undergraduate,introverted,no,1.8,1.5,0.9,2.8,1.2,1.5,regular
81,poor,graduate,extroverted,yes,2,0.1,1.2,3,0.1,1.5,occasional
94.06,good,12,introverted,yes,0.7,2.2,1.5,1.5,1,1.2,regular
76,satisfactory,graduate,extroverted,no,1.9,1.5,0.8,2.5,1.5,0.8,occasional
77,good,PhD,introverted,yes,2.4,1,0.6,2,0.1,1,regular
79.2,satisfactory,undergraduate,introverted,no,2.3,0.8,0.3,1,1.5,1.3,never
100,satisfactory,graduate,extroverted,yes,0.4,1.8,1,4,0.3,0.4,occasional
40,poor,below10,ambiverted,no,2.6,1.3,1.5,1.3,0.1,1,occesionel
84,satisfactory,graduate,introverted,yes,1,0.1,1,4,0.1,1.3,never
94.06,satisfactory,12,ambiverted,yes,1.2,1.5,1.5,1.2,0.1,1,regular
67,satisfactory,PhD,extroverted,no,1,1.5,1.6,0.6,0.3,0.1,regular
76,good,below10,extroverted,no,0.2,2.1,1.5,1.8,0.1,0.1,never
84,satisfactory,graduate,introverted,yes,1,0.1,1,4,0.1,1.3,never
67,satisfactory,12,ambiverted,yes,1,1.5,1.6,0.6,0.3,2,regular
79.2,satisfactory,PhD,extroverted,no,2,0.8,0.3,1,1.5,1.3,never
49,satisfactory,10,introverted,yes,1.5,1.5,0.9,0.8,1.7,0.1,regular
73,satisfactory,12,extroverted,yes,3.2,2,1,1.3,0.1,1,occasional
89,satisfactory,below10,introverted,no,1.3,3.6,1.5,1.5,1.1,1.3,regular
81,good,graduate,ambiverted,yes,3,1.2,1,2.2,0.1,0.1,occasional
82.66,good,graduate,introverted,yes,0.4,1.8,1,4,0.3,0.1,occasional
79,satisfactory,undergraduate,ambiverted,no,2.2,1.2,0.9,2.8,1.2,1.5,regular
91,good,graduate,introverted,yes,3.2,0.8,0.4,2.5,0.3,2,occasional
66,poor,undergraduate,extroverted,yes,2,1.5,0.7,3,1,1.5,regular
88,good,PhD,ambiverted,no,2.5,1.2,0.5,2.5,1,2,occasional
75,satisfactory,graduate,introverted,yes,2.8,0.5,0.3,2,0.5,2,regular
82,good,undergraduate,extroverted,no,1.8,1.2,0.8,2.3,1,1,occasional
94,satisfactory,PhD,ambiverted,yes,3,0.4,0.2,2.2,0.3,3.5,never
72,poor,undergraduate,introverted,no,1.5,1.3,0.9,2.8,1.5,1,regular
89,good,graduate,extroverted,yes,2.8,0.7,0.4,2.5,0.8,2,occasional
77,satisfactory,undergraduate,extroverted,no,2.2,1.5,0.6,2,1,1,regular
67,poor,graduate,introverted,no,0.8,1.8,0.7,3.5,1,0.5,never
61,satisfactory,10,extroverted,no,3,1,2,1.5,0.1,0.1,regular
98,good,below10,ambiverted,no,0.5,2,0.5,2.5,0.1,1,occasional
83,good,12,introverted,yes,1,2,0.2,2.5,0.1,1.5,regular
87,good,graduate,ambiverted,yes,2,1,1,3,0.1,0.5,regular
88,good,12,introverted,no,3,0.1,1,2,0.1,1,occasional
54,good,phD,extroverted,no,2.4,2,0.3,0.3,1.5,0.1,never
70,good,10,ambiverted,no,0.1,2,2,0.5,1,1,never
65,good,undergraduate,extroverted,yes,1,1.5,0.5,0.5,0.1,3.5,occasional
85,good,below10,ambiverted,yes,0.1,1.75,1.8,1.5,1,1.4,occasional
54,good,12,extroverted,yes,2,2,0.3,0.3,1.5,0.1,never
77,good,phD,ambiverted,no,2.4,1,0.6,2,0.1,1,regular
93,good,graduate,introverted,no,0.1,1,1,3,2,0.5,occasional
73,good,phD,extroverted,yes,0.5,3.5,1.5,2,0.1,0.1,never
85,good,12,introverted,no,1,1.4,0.5,1,0.3,0.1,regular
86,good,graduate,introverted,no,2,0.1,0.2,1.2,2.5,0.5,never
74,satisfactory,10,extroverted,no,2,2,0.3,1,0.1,0.1,occasional
99,satisfactory,below10,extroverted,yes,2.3,0.3,1.3,3,0.1,0.3,regular
38,satisfactory,12,ambiverted,no,2.4,0.5,2,2,1.5,0.1,regular
88,satisfactory,below10,introverted,yes,1,2.8,1,2.5,0.6,0.5,occasional
78,satisfactory,12,extroverted,no,2.3,0.1,2,1.5,1.6,1.3,regular
59,satisfactory,graduate,introverted,yes,3.4,0.6,0.2,0.5,0.75,0.1,regular
79.2,satisfactory,graduate,introverted,no,2,0.8,0.3,1,1.5,1.3,never
49,satisfactory,10,introverted,yes,1.5,1.5,0.9,0.8,1.7,0.1,regular
73,satisfactory,12,extroverted,yes,3.2,2,1,1.3,0.1,1,occasional
89,satisfactory,below10,introverted,no,1.3,3.6,1.5,1.5,1.1,1.3,regular
